,game,code,award,recent
26,genshin,EPICGENSHIN2024,"30k mora, five hero’s wit, five glittering gemstones, five hot spring o’clock, five puff pops, five mystic enhancement ore",old
27,genshin,KJBN2JM88SJ3,"three saurian claw succulent, five mystic enhancement ore, ten adventurer’s experience, and 10k mora",old
28,genshin,OHDN6KB124UF,"three sprayfeather gill, 10k mora, ten adventurer’s experience, and five fine enhancement ore",old
29,genshin,HHHA5Z81O5UK,"20k mora, 15 adventurer’s experience, and ten fine enhancement ore",old
30,genshin,DMGJ5262H9SK,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
31,genshin,JVBR8Z8EB8Z9,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
32,genshin,RNIF6H9394K8,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
33,genshin,TARJ78VYG77C,"10k mora, ten sdventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
34,genshin,EFCIZM3399M1,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
35,genshin,NAJEWZTD7XD5,60 primogems and five adventurer’s experience,old
36,genshin,XSME6NV4GX2Z,100 primogems and ten mystic enhancement ore,old
37,genshin,KALF66CLGXKM,100 primogems and five hero’s wit,old
38,genshin,PT5WP6D5GXJ9,100 primogems and 50k mora,old
39,genshin,5A2WEGTVPXFV,ten mystic enhancement ore,old
40,genshin,5SKXWYSCPEVR,five hero’s wit,old
41,genshin,TTKEXYBCNWFH,30k mora and three pile ’em up,old
42,genshin,CXCG929M9MB9,"10k mora, ten adventuer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
43,genshin,MGKH82L54F6S,"three lakelight lily, 10k mora, ten adventuer’s experience, and five fine enhancement ore",old
44,genshin,YILB5OHN89CN,"10k mora, ten adventuer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
45,genshin,FollowGenshinImpactDE,"20k mora, three sweet madames, three tea break pancakes, and three berry and mint bursts",old
46,genshin,USDA9H94ZHSE,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
47,genshin,ZOYWFIGI3NJ2,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
48,genshin,ARQS5391FY79,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
49,genshin,KKFD1J97LTJ2,"20k mora, two hero’s wit, five mystic enhancement ore, one fruits of the festival, and one biryani",old
50,genshin,2SMTYV59TLFD,100 primogems and ten mystic enhancement ore,old
51,genshin,7SMTGV59BLXH,100 primogems and five hero’s wit,old
52,genshin,8T4TGDLRA5E5,100 primogems and 50k mora,old
53,genshin,QIDD46418U6Q,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
54,genshin,FBJCMYSXCBT5,60 primogems and five adventurer’s experience,old
55,genshin,GENSHINSUMMERNIGHT,"20k mora, two hero’s wit, one biryani, five mystic enchantment ore, and one fruits of the festival",old
56,genshin,DUOIMPACT,"30 primogems, one sweet madame, and one chicken-mushroom skewer",old
57,genshin,NGQR1H5QCK82,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
58,genshin,SPAC2S34Y5P9,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
59,genshin,BCPCGY9HGB3H,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
60,genshin,BZPU67488O5V,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
61,genshin,LUURRWZ23243,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
62,genshin,QRUWF1BV2P33,"three lumitoile, 10k mora, ten adventurer’s experience, and five fine enhancement ore",old
63,genshin,YS2WHUHFNQ5M,100 primogems and ten mystic ore,old
64,genshin,5TJWHDHX7R59,100 primogems and five hero’s wit,old
65,genshin,PTKXYUGW7R6D,100 primogems and 5k mora,old
66,genshin,SBCCKN1WWYNQ,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, five stir-fried fish noodles",old
67,genshin,RTJUNRSHTAL9,60 primogems and five adventurer’s experience,old
68,genshin,DSXY15NL247E,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
69,genshin,MLEA572X2UHK,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
70,genshin,PZFUH5GIP9UF,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
71,genshin,VFNSE3DQBW1Q,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
72,genshin,XEZAXRS88R5G,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
73,genshin,XQECMR9IIJ46,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, and five stir-fried fish noodles",old
74,genshin,RERBFT39544D,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
75,genshin,ULEP3495428K,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
76,genshin,CA3BLTURGH9D,60 primogems and five adventurer’s experience,old
77,genshin,OLQH7G62I7EU,"10k mora, five fine enhancement ore, ten adventure experience, five stir-fried fish noodles, and five jueyun chili chicken",old
78,genshin,KAVI75ET63II,"10k mora, five fine enhancement ore, ten adventure experience, five stir-fried fish noodles, and five jueyun chili chicken",old
79,genshin,YKHC29118G54,"10k mora, five fine enhancement ore, ten adventure experience, five stir-fried fish noodles, and five jueyun chili chicken",old
80,genshin,HOFK9PBK481G,"10k mora, five fine enhancement ore, ten adventure experience, five stir-fried fish noodles, and five jueyun chili chicken",old
81,genshin,BNYP6K5X4HIQ,"10k mora, five fine enhancement ore, ten adventure experience, five stir-fried fish noodles, and five jueyun chili chicken",old
82,genshin,NQXAZLX1943G,"10k mora, five fine enhancement ore, ten adventure experience, five stir-fried fish noodles, and five jueyun chili chicken",old
83,genshin,GGXG9VO6967I,"10k mora, five fine enhancement ore, ten adventure experience, five stir-fried fish noodles, and five jueyun chili chicken",old
84,genshin,IREQ1FTFRYBX,"10k mora, five fine enhancement ore, ten adventure experience, five stir-fried fish noodles, and five jueyun chili chicken",old
85,genshin,WAZGIKZ9K6NM,"10k mora, five fine enhancement ore, ten adventure experience, five sweet madames, and five jueyun chili chicken",old
86,genshin,CT2BDW7JD38M,60 primogems and five adventurer’s experience,old
87,genshin,JB95D2V5XGJ5,"20k mora, two hero’s wit, five adventurer’s experience, five charcoal-baked ajilenakh cakes, and five curry shrimp",old
88,genshin,TT3B5L2AHVE9,"one fontinalia mousse,one crepes suzette, one tea break pancake, one secret sauce BBQ ribs, and two Teyvat fried eggs",old
89,genshin,NA88ANTJL5SD,60 primogems and five adventurer’s experience,old
90,genshin,TGEFB1F28HSB,"10k mora, five fine enhancement ore, ten adventure experience, five sweet madame, five jueyun chili chicken",old
91,genshin,DAKTDBWTZTYR,100 primogems and ten mystic ore,old
92,genshin,AT3BDSWTYBKD,100 primogems and five hero’s wit,old
93,genshin,5TKAUAWAGBJR,100 primogems and 5k mora,old
94,genshin,HJGDJA2FW7FH,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, five jueyun chili chicken",old
95,genshin,EA8RWDMBVRTR,60 primogems and five adventurer’s experience,old
96,genshin,BBQ8AZHUH2CZ,100 primogems and ten mystic enhancement ore,old
97,genshin,MT88AYHCZ2UR,100 primogems and five hero’s wit,old
98,genshin,FA9QAGYDZJEV,100 primogems and 50k mora,old
99,genshin,6T8NWE3HD7PD,60 primogems and five adventurer’s experience,old
100,genshin,RS99D5LVTM6V,100 primogems and ten mystic enhancement ore,old
101,genshin,UBRQC4MCT4PZ,100 primogems and five hero’s wit,old
102,genshin,8BQ9CMMVS5PM,100 primogems and 50k mora,old
103,genshin,WA8MJCETGXLR,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, five jueyun chili chicken",old
104,genshin,YT9L3UFSZXF9,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, five jueyun chili chicken",old
105,genshin,3SRM3VEBHXY5,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, five jueyun chili chicken",old
106,genshin,ETR5KVFSYFMZ,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, five jueyun chili chicken",old
107,genshin,VA97KJNF24UV,100 primogems and ten mystic enhancement ore,old
108,genshin,NTQP2KPEJMUH,100 primogems and five hero’s wit,old
109,genshin,9T96KJNE2LVM,100 primogems and 50k mora,old
110,genshin,AAQNVELTVSXV,20k mora and five mystic enchantment ore,old
111,genshin,AS97CE45EUER,"20k mora, two hero’s wit, and three fine enchantment ore",old
112,genshin,GDAHJC4YHS7H,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
113,genshin,EAFVKD4GZQBZ,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
114,genshin,WEQP3D5ZHRD9,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
115,genshin,FASF2VLYYSRD,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
116,genshin,RQWP3ULZZ8VD,"10k mora, ten adventurer’s experience, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
117,genshin,2S84JS839T8R,60 primogems and five adventurer’s experience,old
118,genshin,GENSHINIMPACTRIVALS23,"20k mora, three hero’s wit, and five mystic enhancement ore",old
119,genshin,TA97CGHDHJTH,"10k mora, ten adventurers experience, five fine enhancement ore, five stir-fried fish noodles, five jueyun chili chicken",old
120,genshin,MT8PCZYVG2T5,"10k mora, ten adventurers experience, five fine enhancement ore, five stir-fried fish noodles, five jueyun chili chicken",old
121,genshin,NA9NDHHCZKTD,"10k mora, ten adventurers experience, five fine enhancement ore, five stir-fried fish noodles, five jueyun chili chicken",old
122,genshin,NS92PG6DB52M,60 primogems and five adventurer’s experience,old
123,genshin,RS9MLR5553UH,"30k mora, one crab roe kourayaki, one berry & mint burst, and one mint jelly",old
124,genshin,WTQ2E83WS869,60 primogems and five adventurer’s experience,old
125,genshin,QBQ2NH6DB4Z9,100 primogems and ten mystic enhancement ore,old
126,genshin,2SR3PY7CA52V,"100 primogems, five hero’s wit",old
127,genshin,6A836GNUA52Z,"100 primogems, 50k mora",old
128,genshin,3SRJF25GXCU5,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, five stir-fried fish noodles",old
129,genshin,9S83F34ZFDVV,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, five stir-fried fish noodles",old
130,genshin,5B93WJMGXVFZ,"10k mora, ten adventurer’s experience, five fine enhancement ore, five jueyun chili chicken, five stir-fried fish noodles",old
131,genshin,GA9FPD42SJ4V,60 primogems and five adventurer’s experience,old
132,genshin,LAQZMTPKNTYH,"ten adventurer’s experience, 10k mora, five fine enhancement ore, five stir-fried fish noodles, and five jueyun chili chicken",old
133,genshin,XT82F8JZS4TR,"100 primogems, ten mystic enhancement ore",old
134,genshin,SSRCJ8HSV7UM,"ten adventurer’s experience, 10k mora, five fine enhancement ore, five fisherman’s toast, and five goulash",old
135,genshin,4BQYGWQ9HTR5,"30k mora, one shimi chasuke, one survival grilled fish, one ‘Once Upon A Time In Mondstadt’, one omurice waltz",old
136,genshin,9ARE6VLJT34H,100 primogems and ten mystic enhancement ore,old
137,genshin,KBRE7D4KA2MM,100 primogems and five adventurer’s experience,old
138,genshin,7S9X6V4JB2M9,"100 primogems and 50,000 mora",old
139,genshin,FTRUFT7AT5SV,"ten adventurer’s experience, 10k Mora, five fine enhancement ore, five fried radish balls, five satisfying salads",old
140,genshin,XBRSDNF6BP4R,60 primogems and five adventurer’s experience,old
141,genshin,KARU3RG6NY65,100 primogems and ten mystic enhancement ore,old
142,genshin,5SRC28YNNYP9,100 primogems and five adventurer’s experience,old
143,genshin,SB8UJ9H7NH8V,"100 primogems and 50,000 mora",old
144,genshin,2T9AUV3YPV49,"ten adventurer’s experience, 10k mora, five fine enhancement ore, five sweet madames, and five tea break pancakes",old
